spam_feature,spam_coefficient,ham_feature,ham_coefficient
call,6.687919663954158,my,-3.283910039234313
txt,6.650198524947028,me,-3.122714502367748
text,5.539754621975793,that,-2.761269900928332
free,4.624284459417356,ok,-2.6900360960642984
mobile,4.425255790680573,ll,-2.2651594555693255
claim,4.408480064697605,it,-2.059577410012546
www,4.331869160517572,lt,-2.005380446656149
uk,4.291933769339596,gt,-2.0022470761643802
to,4.134008294893302,how,-1.98756409776114
stop,4.004377498078873,in,-1.9445208936391183
reply,3.9972886333891533,later,-1.9384342247268227
150p,3.774668807780326,at,-1.922633966312718
50,3.4171827509602943,then,-1.9018364031362305
service,3.402160745548119,its,-1.8640847632080435
win,3.3417102211333503,da,-1.85940316930571
you have,3.3001252285507277,home,-1.8500094324413416
from,3.233351722401814,come,-1.8359655677856155
now,3.1762885446921825,got,-1.832312908511381
your,3.17241783083588,but,-1.7630749347214139
chat,3.137674516370318,lt gt,-1.7618616253858697
com,3.1016084874289347,are you,-1.7455467350778033
prize,3.0954152788202838,can,-1.741218942054009
18,3.075717555180194,he,-1.740149900645942
ringtone,2.7759503345145995,so,-1.671060207016279
won,2.738713586468764,was,-1.5798429187497016
new,2.7255022338630304,going,-1.5525104454229568
co,2.6681912240425856,what,-1.5316746220991295
co uk,2.640064098662684,lor,-1.5294236239881314
sms,2.559773148655685,yup,-1.5099129767317896
cash,2.5505807466771997,when,-1.4431534035449827
500,2.5109713734120076,she,-1.4361785806328666
100,2.4762897558990153,am,-1.434516834025436
customer,2.4752398259904127,going to,-1.4072964564239816
tones,2.462836487269884,sorry,-1.4031752347142177
tone,2.4042780812057845,well,-1.3847281159426006
urgent,2.324861890170951,do,-1.3704162572804288
cost,2.311125281437641,oh,-1.3660169629093495
or,2.308551381619495,wat,-1.3038629447995738
send,2.276904232606688,hope,-1.3033953385160997
min,2.269804540478507,lol,-1.2850681766933356
